trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441.8494716999703,1441.8494716999703,num_8,3.697304500034079,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.932676700002,1445.932676700002,num_9,2.542131599970162,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.8991031000041,1448.8991031000041,num_8,1.711650799959898,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.9992962999968,1450.9992962999968,num_7,2.1633663999964483,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.5489965999732,1453.5489965999732,num_4,3.8776248999638483,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.782121199998,1457.782121199998,num_8,1.5324536999687552,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.715517500008,1459.715517500008,num_0,2.918673000007402,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463.0485115000047,1463.0485115000047,num_9,1.642265199974645,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465.0817326999968,1465.0817326999968,num_6,7.208526199974585,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.664678399975,1472.664678399975,num_8,3.403423500014469,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.447688299988,1476.447688299988,num_5,2.4432163999881595,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.2646719999611,1479.2646719999611,None,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.1166510999901,1480.1166510999901,space,7.428151400003117,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
