trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631.6930451000226,1631.6930451000226,space,2.0545928000065032,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633.7751310000021,1633.7751310000021,space,2.3180226999975275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4,1636.1220273000072,1636.1220273000072,1639.136068599997,1640.1350217,None,1640.1350217,1640.1350217,1,344.4640999950934,space,0.3444640999950934,1640.5017806999967,1641.0015806000156,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,4,1641.0015806000156,1641.0015806000156,1644.0149477999948,1645.0144750000036,None,1645.0144750000036,1645.0144750000036,1,290.8565000107046,space,0.2908565000107046,1645.3309776000096,1645.8466906000103,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,1,1645.8466906000103,1645.8466906000103,1645.8466906000103,1646.8624337000074,None,1646.8624337000074,1646.8624337000074,1,411.6801000200212,space,0.4116801000200212,1647.2956587000226,1647.8115700000199,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,1,1647.8115700000199,1647.8115700000199,1647.8115700000199,1648.810732300015,None,1648.810732300015,1648.810732300015,1,367.2022999962792,space,0.3672022999962792,1649.1933088000224,1649.6929851000023,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,2,1649.6929851000023,1649.6929851000023,1650.7089760999952,1651.708210300014,None,1651.708210300014,1651.708210300014,1,265.65970000228845,space,0.26565970000228845,1651.9912709000055,1652.4903354000126,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,2,1652.4903354000126,1652.4903354000126,1653.4899179000058,1654.505449999997,None,1654.505449999997,1654.505449999997,1,266.1052999901585,space,0.26610529999015853,1654.7879565000185,1655.2874940000183,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,3,1655.2874940000183,1655.2874940000183,1657.3025407000096,,None,,,0,nan,None,,1663.0141297999944,1663.513502900023,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,2,1663.513502900023,1663.513502900023,1664.5121599000122,1665.5283554000198,None,1665.5283554000198,1665.5283554000198,1,410.6215999927372,space,0.4106215999927372,1665.9613230999967,1666.4610074000084,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
