trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,3,229.9263946999563,229.9263946999563,231.939993100008,232.93990189995384,None,232.93990189995384,232.93990189995384,1,315.28189999517053,space,0.31528189999517053,233.2734193999786,233.77475089998916,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,2,233.77475089998916,233.77475089998916,234.77450130000943,235.79041969997343,None,235.79041969997343,235.79041969997343,1,320.5022999900393,space,0.3205022999900393,236.15409829997225,236.65612649999093,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,4,236.65612649999093,236.65612649999093,239.65656209998997,240.6559798999806,None,240.6559798999806,240.6559798999806,1,118.69009997462854,space,0.11869009997462854,240.80477459996473,241.30718699999852,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,4,241.30718699999852,241.30718699999852,244.3057689999696,245.3230986999697,None,245.3230986999697,245.3230986999697,1,300.2715999609791,space,0.3002715999609791,245.65569310000865,246.1580385999987,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,3,246.1580385999987,246.1580385999987,248.15533959999448,249.15820219996385,None,249.15820219996385,249.15820219996385,1,257.6549000223167,space,0.2576549000223167,249.45322809997015,249.97179280000273,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,2,249.97179280000273,249.97179280000273,250.97732889995677,251.9738331999979,None,251.9738331999979,251.9738331999979,1,305.1545000053011,space,0.3051545000053011,252.30703460000223,252.80703560000984,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,4,252.80703560000984,252.80703560000984,255.80503879999742,256.81999160000123,None,256.81999160000123,256.81999160000123,1,307.15290002990514,space,0.30715290002990514,257.1548579999944,257.6557426999789,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.6557426999789,257.6557426999789,space,41.991591199999675,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.66929329995764,299.66929329995764,7,1.6116463000071235,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.6338442999986,301.6338442999986,0,2.0614254000247456,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
