trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1376.2496618999867,1376.2496618999867,1378.2614451000118,1379.2748379000113,None,1379.2748379000113,1379.2748379000113,1,346.8041999731213,space,0.3468041999731213,1379.6584973999998,1380.160720999993,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1380.160720999993,1380.160720999993,1380.160720999993,1381.1608373000054,None,1381.1608373000054,1381.1608373000054,1,445.297300000675,space,0.445297300000675,1381.6420649999636,1382.1439699999755,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1382.1439699999755,1382.1439699999755,1384.144531500002,1385.1449531000108,None,1385.1449531000108,1385.1449531000108,1,341.23119997093454,space,0.34123119997093454,1385.5252000999753,1386.027896399959,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1386.027896399959,1386.027896399959,1389.0274575999938,1390.0429654999753,None,1390.0429654999753,1390.0429654999753,1,362.76739998720586,space,0.36276739998720586,1390.4468804000062,1390.9449613000033,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1390.9449613000033,1390.9449613000033,1390.9449613000033,1391.9585088999593,None,1391.9585088999593,1391.9585088999593,1,495.6815000041388,space,0.4956815000041388,1392.4784893000033,1392.9784501999966,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1392.9784501999966,1392.9784501999966,1395.9940810999833,1396.9968997999677,None,1396.9968997999677,1396.9968997999677,1,352.7443000348285,space,0.3527443000348285,1397.3748539999942,1397.8773283999762,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1397.8773283999762,1397.8773283999762,1400.8765840000124,1401.8902127000038,None,1401.8902127000038,1401.8902127000038,1,379.78999997721985,space,0.37978999997721985,1402.2909270999953,1402.7960846999777,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1402.7960846999777,1402.7960846999777,1402.7960846999777,1403.807903799985,None,1403.807903799985,1403.807903799985,1,454.5058000367135,space,0.4545058000367135,1404.2912416000036,1404.794807499973,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1404.794807499973,1404.794807499973,1407.8096515999641,1408.8091781999683,None,1408.8091781999683,1408.8091781999683,1,356.6088000079617,space,0.3566088000079617,1409.2073916000081,1409.7094724999624,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1409.7094724999624,1409.7094724999624,1411.7113997999695,1412.7096323999576,None,1412.7096323999576,1412.7096323999576,1,376.0474000009708,space,0.3760474000009708,1413.1231792999897,1413.6273351999698,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
