trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,3,33,0,,,,,295.8633015000087,296.8473221999884,296.8477880600112,299.34814250000636,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,4,34,1,,,,,299.36611109998194,300.3337290000054,300.3319494599855,302.8330644000089,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,0,35,3,,,,,302.84955230000196,303.83375009999145,303.8335799600027,306.33547920000274,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,7,1,36,4,,,,,306.35101409998606,307.33426259999396,307.33437305998814,309.8357924000011,t,1,,0.8199476999870967,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,2,37,0,,,,,309.85284390000743,310.83628349998617,310.8375412599853,313.33731219999027,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,3,38,1,,,,,313.35446740000043,314.3373436999973,314.3378519599937,316.8385819999967,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,4,39,2,,,,,316.8564053000009,317.83937299999525,317.83964845999435,320.3402950000018,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,0,40,1,,,,,320.35695600000327,321.3411402000056,321.34119695999834,323.84205750000547,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,1,41,0,,,,,323.8587755000044,324.8427432999888,324.84299506001116,327.34359259999474,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,2,42,3,,,,,327.3600166999968,328.34408670000266,328.3440238599869,330.844998799992,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,8,3,43,4,,,,,330.86165919998894,331.84688460000325,331.8459302600095,334.3468888000061,t,1,,0.8221861000056379,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,8,4,44,2,,,,,334.3635021999944,335.3476085999864,335.3471488600044,,None,1,,,336.3478524000093,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,0,45,0,,,,,337.8490339999844,338.8503548000008,338.84943896000914,,None,1,,,,,,,,341.34885710000526,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,1,46,3,,,,,341.3657955999952,342.3343424999912,342.3332246600039,344.83683949999977,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,9,2,47,4,,,,,344.8507549999922,345.83490139999776,345.8348458600085,348.3355673000042,t,1,,0.7869819999905303,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,3,48,2,,,,,348.3521597000072,349.3361287000007,349.33623356001044,351.8372549999913,None,1,,,350.3384665999911,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,9,4,49,1,,,,,351.853760900005,352.83832819998497,352.83779546000005,355.338740999985,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,10,0,50,1,,,,,355.35660060000373,356.3398550999991,356.3391195599834,358.84047649998683,None,1,,,357.3393464999972,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,10,1,51,4,,,,,358.85696820000885,359.8413426000043,359.841192959997,362.3423119999934,t,1,,0.7642270000069402,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,10,2,52,2,,,,,362.3586529000022,363.3426061999926,363.3426638599922,365.8426749999926,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,10,3,53,3,,,,,365.85977169999387,366.8440529000072,366.8435930599953,369.34437340000295,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,10,4,54,0,,,,,369.36201019998407,370.3449287999829,370.34550365999166,372.84581269999035,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,11,0,55,0,,,,,372.86301619998994,373.8461851000029,373.8459226600098,376.3482549999899,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,11,1,56,3,,,,,376.3643156999897,377.34823390000383,377.34789816000557,379.84911789998296,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,11,2,57,1,,,,,379.86566740000853,380.8336716000049,380.8334616600041,383.33418450001045,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,11,3,58,2,,,,,383.35222780000186,384.3352121000062,384.33485346000816,386.8354018999962,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,11,4,59,4,,,,,386.8523521999887,387.83579009998357,387.83549615998345,390.33634639999946,t,1,,0.6842300000134856,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,12,0,60,2,,,,,390.3543553999916,391.3375157999981,391.33735895999416,393.8387570999912,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,12,1,61,0,,,,,393.85529579999275,394.8408284999896,394.8390566599992,397.34021409999696,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,12,2,62,4,,,,,397.3566034999967,398.3404940000037,398.34047506000206,400.8412393000035,t,1,,0.7631592999969143,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,12,3,63,1,,,,,400.8598096999922,401.84232890000567,401.8418011600006,404.3442045999982,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,12,4,64,3,,,,,404.35968120000325,405.3436229999934,405.34305385999323,407.844236200006,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,13,0,65,3,,,,,407.86231269998825,408.84479410000495,408.8454313599941,411.34553250001045,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,13,1,66,4,,,,,411.3623760000046,412.3467829999863,412.34624495999014,414.84764500000165,t,1,,0.6720865999814123,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,13,2,67,0,,,,,414.8647813999851,415.84850839999854,415.84783666000294,418.3486339999945,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,13,3,68,2,,,,,418.3655252000026,419.33249790000264,419.3325485600071,421.83402690000366,None,1,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
