trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,49,0,196,3,,,,,715.5998368999863,716.5999478999875,716.6005296799995,718.4666752000048,718.5997328999802,2.8542306003705793,t,1,0.8273120000085328,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,49,1,197,1,,,,,718.5997328999802,719.6012132999895,719.6003809800022,721.5336666999792,721.6167864000017,2.9210796386773277,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,49,2,198,2,,,,,721.6167864000017,722.6164062999887,722.616562279989,723.7334192999988,724.6166996999818,2.1075203765172863,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,49,3,199,0,,,,,724.6166996999818,725.6162562999816,725.6163088799804,728.1345716000069,727.6171003000054,3.516098326459365,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,50,0,200,1,,,,,728.1345716000069,729.1341505000019,729.1334840799973,731.6839867999952,731.1343319999869,3.546057576182415,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,50,1,201,2,,,,,731.6839867999952,732.6671578999958,732.667602379981,735.1335132999811,734.6671441999788,3.442633691588302,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,50,2,202,3,,,,,735.1335132999811,736.1329747999844,736.133984879998,737.9002365999913,738.1340061999799,2.7515086977384424,t,1,0.8871335000148974,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,50,3,203,0,,,,,738.1340061999799,739.1339025000052,739.1329315799812,741.2332340999856,741.1343488999992,3.0883863739998225,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,51,0,204,0,,,,,741.2332340999856,742.2336886999838,742.2330776799936,744.184236799978,744.2335770000063,2.937237917286584,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,51,1,205,3,,,,,744.2335770000063,745.2175710999873,745.2177352799918,748.200921599986,747.2176061999926,3.957599572520886,t,1,0.8036942000035197,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,51,2,206,1,,,,,748.200921599986,749.201126800006,749.2010339800036,751.9500406000006,751.2000355999917,3.734796805528274,None,1,,750.2008787999803,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,51,3,207,2,,,,,751.9500406000006,752.9501049999963,752.9507275799988,754.0340678000066,754.9502995999937,2.079157597561578,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,52,0,208,1,,,,,754.9502995999937,755.9501333999797,755.949693779985,758.9496670999797,757.9500920999853,3.998651702377755,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,52,1,209,3,,,,,758.9496670999797,759.9503763999965,759.9507460799941,762.5667414999916,761.95002259998,3.601681789687884,t,1,0.8778337999829091,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,52,2,210,0,,,,,762.5667414999916,763.5676963999867,763.5680713799957,764.9171173000068,765.5672796999861,2.341427835614075,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,52,3,211,2,,,,,765.5672796999861,766.5670427999867,766.5669656799873,769.4338736000063,768.56750189999,3.857970483889444,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,53,0,212,1,,,,,769.4338736000063,770.4344152999984,770.4343708799861,771.8839346999885,772.4341011999932,2.440227637483476,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,53,1,213,3,,,,,772.4341011999932,773.4173286999867,773.4185518799932,775.7676325999782,775.4177876999893,3.3316963605199836,t,1,0.7789957000059076,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,53,2,214,2,,,,,775.7676325999782,776.767382399994,776.7671135799901,777.9674778000044,778.7682168000028,2.192735052043673,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
