trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,response.stopped,fixation_cross.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,24,3,99,2,,,,,415.661259400018,416.6422895999858,416.6449084999855,418.65812919999007,417.7250318999868,2.051857220635908,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,25,0,100,1,,,,,418.65812919999007,419.6564510000171,419.6572537999833,421.67182859999593,422.70596769999247,4.039856611283801,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,25,1,101,0,,,,,422.70596769999247,423.70408970001154,423.70242190002466,425.7183831000002,426.1508425999782,3.442603254118933,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,25,2,102,2,,,,,426.1508425999782,427.1492985999794,427.1520630999818,429.16453970002476,428.26629649999086,2.1104757433619623,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,25,3,103,3,,,,,429.16453970002476,430.16300679999404,430.1638663999853,432.17748379998375,432.9277907999931,3.752267784549946,t,1,0.6234818999655545,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,26,0,104,2,,,,,432.9277907999931,433.9103417000151,433.9123656000244,435.92411389999324,436.9585621000151,4.016834665624166,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,26,1,105,0,,,,,436.9585621000151,437.9390857000253,437.9404393999954,439.93754720001016,439.57051960000535,2.612772981042631,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,26,2,106,1,,,,,439.93754720001016,440.9407713999972,440.940713099984,442.95334379997803,443.96731699997326,4.022654977211023,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,26,3,107,3,,,,,443.96731699997326,444.96638410002925,444.96627880000744,446.980353299994,448.28040510002756,4.310632939497414,t,1,0.6140838999999687,445.9674372000154,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,27,0,108,0,,,,,448.28040510002756,449.2803367000306,449.27810949997513,451.29431610001484,452.25919499999145,3.9804269914014916,None,1,,450.2825026999926,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,27,1,109,2,,,,,452.25919499999145,453.24387220002245,453.24664290001385,455.2559610999888,455.77438610000536,3.5030153948507383,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,27,2,110,3,,,,,455.77438610000536,456.77142579999054,456.77348599998516,458.7698916000081,457.93645360000664,2.1577736395119986,t,1,0.6543231999967247,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
