trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,response.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,2,66,1,,,,,608.5613942000018,609.5486335999994,609.5463443899996,,None,1,,610.5475427000019,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,16,3,67,3,,,,,612.0802444000001,613.0479379999997,613.0471382900021,615.5512245000027,t,1,0.9423217000003206,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,17,0,68,3,,,,,615.5675255000024,616.551955400002,616.5516257900006,619.0531098000029,t,1,0.8927874000000884,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,1,69,1,,,,,619.070254000002,620.0395754000019,620.0382908900017,622.5402126000008,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,2,70,0,,,,,622.5562081000026,623.5628467000024,623.5487159900028,,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,3,71,2,,,,,626.0598462000016,627.0427684999995,627.0426350900004,629.5465021000018,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,0,72,0,,,,,629.5609165999995,630.5453068000024,630.5469760900003,633.0490694,None,1,,631.5461737000005,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,1,73,2,,,,,633.0654514000016,634.0495251000029,634.0502537900018,636.5523936000027,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,18,2,74,3,,,,,636.5670361000011,637.5528129000013,637.5542347899998,,t,1,0.6746715999979642,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,3,75,1,,,,,640.0543456000014,641.039564900002,641.0385685900026,643.5426197000015,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
