trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,6,0,24,0,,,,,310.84875580000516,311.83213650000107,311.8325532999967,316.29847199999494,313.8322219999973,5.436613285966461,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,6,1,25,3,,,,,316.29847199999494,317.2984604999947,317.29830150000055,318.78209219999553,319.2984129999968,2.469524501589557,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,6,2,26,2,,,,,319.2984129999968,320.29906380000466,320.29903689999776,323.448942300005,322.2985845999938,4.144963707829653,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,6,3,27,1,,,,,323.448942300005,324.4488402999996,324.4484747000039,329.1319506,326.44876489999297,5.679099953518516,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,7,0,28,1,,,,,329.1319506,330.1321228000015,330.1319646999997,332.78195449999475,332.1325421999936,3.637826838664273,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,7,1,29,2,,,,,332.78195449999475,333.7825681999966,333.7820752000058,337.29881049999676,335.7830859999958,4.51526404083066,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,7,2,30,0,,,,,337.29881049999676,338.3000156000053,338.29934469999864,340.5989466000028,340.3158958999993,3.2927662828221744,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,7,3,31,3,,,,,340.5989466000028,341.59928979999677,341.5993434999924,346.5497631000035,343.599160999991,5.938067304109394,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,8,0,32,3,,,,,346.5497631000035,347.54958859999897,347.5490114999935,350.31626049999613,349.549451400002,3.7587064074820393,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,8,1,33,0,,,,,350.31626049999613,351.31625760000315,351.3155590000039,355.9487705999927,353.316527899995,5.630282402730916,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
