trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,sound_1.stopped,response.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,8,5,85,1,,,,,598.2971784000001,599.2634252000007,599.2637901800014,601.7657151000003,None,1,600.264701600001,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,8,6,86,3,,,,,601.7834407999999,602.7670332000016,602.7669759800016,605.2684818000016,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,8,7,87,8,,,,,605.286155400001,606.2700208000006,606.2697797800016,608.771362200001,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,8,8,88,5,,,,,608.7886635000013,609.7726779000004,609.7729912800011,612.274271100001,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1001,8,9,89,9,,,,,612.2913906000013,613.276375200001,613.2756715800011,615.777400500001,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,9,0,90,1,,,,,615.794375200001,616.7785775000011,616.7782305800016,619.2802908000012,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,9,1,91,3,,,,,619.2969065000016,620.2644457000006,620.2646008800008,622.7669089999999,None,1,621.2670131000013,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1001,9,2,92,9,,,,,622.7841191000007,623.7684972000006,623.7677047800013,626.2698130000008,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,9,3,93,7,,,,,626.2864054000001,627.2709345000003,627.2704806800017,629.7733229000005,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,9,4,94,4,,,,,629.7896971000009,630.7737436000007,630.773820680001,633.2751408000004,t,1,,0.7469760999993014,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,9,5,95,8,,,,,633.2921186000003,634.2766372000006,634.2763878800002,636.7788995999999,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,9,6,96,0,,,,,636.7959604000007,637.7790408000001,637.7792529800014,,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,9,7,97,5,,,,,640.2814342000001,641.2653684000015,641.2653857800002,643.7685969000013,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,9,8,98,2,,,,,643.7845651000007,644.7690239000003,644.7684531800011,647.2706408000013,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,9,9,99,6,,,,,647.2871796,648.2716747000013,648.2717000800009,650.7730118,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,10,0,100,0,,,,,650.7899226000009,651.7739334000016,651.7740260800007,654.2765156000005,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,10,1,101,3,,,,,654.2933135000003,655.2771130000001,655.2768767800013,657.7792017000011,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,10,2,102,1,,,,,657.7963256000003,658.7633409000009,658.7637243800006,661.2657007000016,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1001,10,3,103,9,,,,,661.2823677000015,662.2660580000011,662.2661915800005,664.7682222000003,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,10,4,104,7,,,,,664.785135600001,665.7693974000013,665.7692108800007,668.2719454000016,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,10,5,105,6,,,,,668.288595,669.2718220000006,669.272337680001,671.7741442000006,None,1,,,,,,,,elpida_23_10_23,shielded_hugin)4,2023-10-23_14h31.44.268,Oddball_task,2022.2.5,59.71675150452806,
