trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,10,0,40,3,,,,,167.93088860000717,168.93111430000863,168.93127779000352,170.9310703000083,171.91427930000646,3.9699756878830934,t,1,0.85003639999195,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,1,41,1,,,,,171.91427930000646,172.91516950000369,172.91430039000844,174.93065770000976,174.81460030000017,2.885181808460066,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,2,42,0,,,,,174.93065770000976,175.93016990000615,175.92984578999895,177.92922600000747,178.33018679999805,3.385407962514986,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,3,43,2,,,,,178.33018679999805,179.33131870000216,179.33227669000772,181.34799020001083,181.8473304000072,3.505615417307501,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,0,44,1,,,,,181.8473304000072,182.84708310000133,182.84650029000332,184.84758130001137,184.02995670000382,2.169002459724419,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,1,45,2,,,,,184.84758130001137,185.84732220000296,185.84647609000822,187.8630603000056,187.91402390001167,3.0564598715167026,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,11,2,46,3,,,,,187.91402390001167,188.9140855000005,188.91311259000068,190.92896530000144,191.84817450000264,3.9164832263448117,t,1,0.7855720999941695,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,3,47,0,,,,,191.84817450000264,192.84573790000286,192.8450258900106,194.84708360000513,194.8138764000032,2.9509985453291785,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,0,48,0,,,,,194.84708360000513,195.8466907999973,195.8456507900104,197.86201250000158,197.64565250001033,2.7984280339711205,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,12,1,49,3,,,,,197.86201250000158,198.8623641000013,198.86320078999998,200.86203350000142,201.69594050000887,3.8279341636839774,t,1,0.767646499996772,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,2,50,2,,,,,201.69594050000887,202.6946891999978,202.69818068999885,204.69613370001025,204.4287164999987,2.7298241183769734,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,3,51,1,,,,,204.69613370001025,205.69577220000792,205.69664729000797,207.69528759999957,207.38019209999766,2.6742026029180668,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,0,52,2,,,,,207.69528759999957,208.6955125000095,208.6955957900049,210.69569300000148,209.9280848000053,2.230518087064245,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,1,53,1,,,,,210.69569300000148,211.69774270000926,211.69603929000587,213.71245390000695,213.01276589999907,2.302900912086404,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,13,2,54,3,,,,,213.71245390000695,214.69496690000233,214.69599909000536,216.6954126000055,217.3111796000012,3.592062898795354,t,1,0.8492776999919442,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,3,55,0,,,,,217.3111796000012,218.3124766999972,218.31136939000717,220.32791410000937,219.47747730000992,2.158617540720987,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,0,56,2,,,,,220.32791410000937,221.3283572000073,221.3283827899999,223.32781020000402,222.66111090000777,2.326446719324905,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,1,57,0,,,,,223.32781020000402,224.32784759999777,224.32816108999978,226.32745820000127,225.49354590001167,2.164758719044311,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
