trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,10,3,53,1,,,,,280.6402044000006,281.62372140000116,281.6232646999997,284.12559930000134,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,10,4,54,0,,,,,284.1422347000007,285.1270689000012,285.12622870000087,287.63034460000017,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,11,0,55,4,,,,,287.6452913000012,288.6314947999999,288.6292443000002,291.13149780000094,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,11,1,56,0,,,,,291.14850730000035,292.1323078000005,292.1322269000011,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,11,2,57,3,,,,,294.6347412000014,295.6190103000008,295.6188000000002,298.1199195999998,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,11,3,58,1,,,,,298.1367730000002,299.12174530000084,299.12131620000036,301.6238549000009,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,11,4,59,2,,,,,301.64010430000053,302.6255366000005,302.6255529000009,305.1270706000014,None,1,,303.62519840000095,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,12,0,60,4,,,,,305.14390939999976,306.12705070000084,306.1269573999998,308.63146060000145,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,12,1,61,1,,,,,308.64590280000084,309.6318506000007,309.6307624000001,312.13275000000067,None,1,,310.63136420000046,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,12,2,62,0,,,,,312.1486299999997,313.1334852,313.1328856,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,12,3,63,3,,,,,315.635635300001,316.6203174000002,316.6200666000004,319.12182980000034,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,12,4,64,2,,,,,319.1393841000008,320.1228200000005,320.122097200001,322.6239991000002,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,13,0,65,4,,,,,322.6407087000007,323.66361359999974,323.64799889999995,,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,13,1,66,3,,,,,326.1443068999997,327.12894210000013,327.13038570000026,329.6311146000007,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,13,2,67,2,,,,,329.64771780000046,330.6311216000013,330.6321201999999,333.1332734000007,None,1,,331.6335350999998,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,13,3,68,1,,,,,333.149942,334.1183520000013,334.11851879999995,336.61944829999993,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
