trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,7,4,39,1,,,,,368.71229969999695,369.71225169999525,369.71231277000334,None,1,,372.21216120000463,,,,,,370.7120903000032,372.21216120000463,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,8,0,40,2,,,,,372.21216120000463,373.2119546000031,373.2118909700075,None,1,,375.71213319999515,,,,,,,375.71213319999515,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,1,41,3,,,,,375.71213319999515,376.6955409000075,376.69586797000375,None,1,,379.1960528000054,,,,,,,379.21299480000744,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,2,42,1,,,,,379.21299480000744,380.19603859999916,380.1960642699996,None,1,,382.6955178000062,,,,,,,382.71224280000024,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,8,3,43,0,,,,,382.71224280000024,383.7120227999985,383.7120747699955,None,1,,,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,4,44,4,,,,,386.21271839999827,387.1954601000034,387.1959660700086,t,1,,389.6962787999946,0.7601245999976527,,,,,,389.71302480000304,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,9,0,45,3,,,,,389.71302480000304,390.69668180000735,390.69712436999544,None,1,,393.19649899999786,,,,,,,393.21273339999607,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,9,1,46,2,,,,,393.21273339999607,394.19645489999675,394.19664886999817,None,1,,396.69803200000024,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,2,47,4,,,,,396.7140542999987,397.69808309999644,397.69838996999897,t,1,,400.21218220000446,1.217543199993088,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,9,3,48,1,,,,,400.22975620000216,401.19610430000466,401.1963739700004,None,1,,403.69680230000813,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,9,4,49,0,,,,,403.71264870000596,404.69625360000646,404.69559936999576,None,1,,407.1965113000042,,,,,,405.6963342999952,407.2126714000042,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,10,0,50,4,,,,,407.2126714000042,408.19662360000075,408.1962144700083,t,1,,410.69588210000074,0.7107339000067441,,,,,,410.7123130999971,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,10,1,51,1,,,,,410.7123130999971,411.69587150000734,411.69562266999856,None,1,,414.19592369999737,,,,,,,414.2123836999963,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,10,2,52,3,,,,,414.2123836999963,415.2122831000015,415.21230616999674,None,1,,417.7122662000038,,,,,,,417.7122662000038,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,10,3,53,0,,,,,417.7122662000038,418.6956271999952,418.69592787000875,None,1,,421.19553749999614,,,,,,,421.21224219999567,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,10,4,54,2,,,,,421.21224219999567,422.2127962000086,422.2124795700074,None,1,,424.7125153000088,,,,,,,424.7125153000088,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,11,0,55,2,,,,,424.7125153000088,425.6960379000084,425.6962959700031,None,1,,428.19641689999844,,,,,,426.69595480000135,428.2134331999987,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,11,1,56,3,,,,,428.2134331999987,429.1961805000028,429.1967850700021,None,1,,431.69562149999547,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,11,2,57,0,,,,,431.7295773000078,432.71237170000677,432.71231327000714,None,1,,435.2124607000005,,,,,,433.7127690000052,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,11,3,58,1,,,,,435.22924080000666,436.1959010999999,436.195853969999,None,1,,438.69648230000166,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,11,4,59,4,,,,,438.7295691000036,439.6960972000088,439.6972873699997,t,1,,442.1960829000018,0.8923579999973299,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,12,0,60,1,,,,,442.22959889999765,443.19619450000755,443.19596537000325,None,1,,445.6965171000047,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,12,1,61,3,,,,,445.7296123999986,446.695730300009,446.69586187000095,None,1,,449.19639169999573,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,12,2,62,0,,,,,449.2297369000007,450.1962369999965,450.19682877000014,None,1,,452.69671709999966,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,12,3,63,4,,,,,452.71329810000316,453.6977101999946,453.69662447000155,t,1,,456.212408300009,0.9464510999969207,,,,,,456.212408300009,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,12,4,64,2,,,,,456.212408300009,457.19561170000816,457.19572867000534,None,1,,459.69664880000346,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,13,0,65,0,,,,,459.7130063000077,460.696285900005,460.696632170002,None,1,,463.19587920000777,,,,,,,463.2128471000033,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,13,1,66,4,,,,,463.2128471000033,464.19595009999466,464.19567697000457,t,1,,466.69733460000134,0.8639264999947045,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
