trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,fixation_cross.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,41,3,167,1,,,,,662.0519463999954,663.0517266999959,663.0523465400081,666.2520948000019,665.0543464999937,4.198008571140701,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,42,0,168,1,,,,,666.2520948000019,667.2360171000037,667.2364415399977,670.769323200002,669.2356049999944,4.507308599788161,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,42,1,169,3,,,,,670.769323200002,671.7683434000064,671.7682434399946,674.9549165000062,673.7686949000054,4.1794293199940435,t,1,0.4848437000036938,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,42,2,170,2,,,,,674.9549165000062,675.9535331999941,675.9528213400088,677.0196391000063,677.9690437999961,2.0641195728992825,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,42,3,171,0,,,,,677.9690437999961,678.9685443000053,678.9690909399985,682.4521019999956,680.9702118999994,4.4693805412735905,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,43,0,172,1,,,,,682.4521019999956,683.4529720999999,683.4525439400065,685.9354171000014,685.4693503000017,3.4772346512752743,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,43,1,173,3,,,,,685.9354171000014,686.9361637999973,686.9362988399996,690.218864399998,688.9740384000033,4.279657088676197,t,1,0.6299095999856945,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,43,2,174,0,,,,,690.218864399998,691.203482900004,691.2036834399958,694.2190641000052,693.2186629000062,3.9965391721652503,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,43,3,175,2,,,,,694.2190641000052,695.2019588999974,695.202400140003,697.7348808999959,697.2402479000011,3.5033564311143843,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,44,0,176,2,,,,,697.7348808999959,698.7354722000018,698.7354352400041,699.9522533999989,700.7351435000019,2.2109230485936426,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,44,1,177,0,,,,,700.7351435000019,701.735788799997,701.7349651400043,705.4357995000028,703.7362110999966,4.689969876816582,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,44,2,178,3,,,,,705.4357995000028,706.4357839000004,706.435937439998,709.3388451000064,708.4350626999949,3.8771953892008666,t,1,0.47321509999164846,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
